ERROR|Fri, 07 Jun 2013 01:47:28 -0400|visitor|content|/robots.txt|220.181.89.128|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 03:40:44 -0400|visitor|content|/robots.txt|66.249.73.46|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 04:03:57 -0400|visitor|content|/news/tour|66.249.73.46|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 04:57:00 -0400|visitor|content|/robots.txt|66.249.73.240|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 05:29:39 -0400|visitor|content|/news/tour|66.249.73.240|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 06:15:26 -0400|visitor|content|/robots.txt|157.55.35.106|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 06:16:39 -0400|visitor|content|/cdbaby|157.55.35.106|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 06:30:21 -0400|visitor|content|/robots.txt|66.249.73.32|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 06:50:16 -0400|visitor|content|/robots.txt|18.150.2.60|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 07:39:24 -0400|visitor|content|/robots.txt|66.249.73.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 09:08:39 -0400|external|content|/myspace/nick.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:08:39 -0400|external|content|/myspace/matt.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:08:39 -0400|external|content|/myspace/rog.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:08:39 -0400|external|content|/myspace/hawk.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:08:39 -0400|external|content|/myspace/vintage-logo.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:08:40 -0400|external|content|/myspace/backdrop_vintage.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
INFO|Fri, 07 Jun 2013 09:09:04 -0400|site|favicon|/favicon.ico|95.157.48.113|live|The site favicon could not be found.
INFO|Fri, 07 Jun 2013 09:09:24 -0400|site|favicon|/favicon.ico|95.157.48.113|live|The site favicon could not be found.
ERROR|Fri, 07 Jun 2013 09:09:55 -0400|external|content|/myspace/vintage-logo.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:09:55 -0400|external|content|/myspace/hawk.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:09:56 -0400|external|content|/myspace/rog.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:09:56 -0400|external|content|/myspace/nick.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:09:56 -0400|external|content|/myspace/matt.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:09:56 -0400|external|content|/myspace/backdrop_vintage.png|95.157.48.113|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.myspace.com/magnusrising">http://www.myspace.com/magnusrising</a>.
ERROR|Fri, 07 Jun 2013 09:16:17 -0400|visitor|content|/robots.txt|193.252.118.165|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 13:24:11 -0400|visitor|content|/robots.txt|157.55.33.182|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 13:59:47 -0400|visitor|content|/robots.txt|157.55.35.106|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 14:53:46 -0400|visitor|content|/robots.txt|66.249.73.113|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 07 Jun 2013 15:14:46 -0400|page|content|/news/tour|176.74.192.72|live|404 - Page not found. There is a bad link on <a href="/">/</a>.
