INFO|Sun, 15 Sep 2013 01:36:29 -0400|site|favicon|/favicon.ico|66.249.85.64|live|The site favicon could not be found.
ERROR|Sun, 15 Sep 2013 03:28:15 -0400|visitor|content|/robots.txt|66.249.73.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sun, 15 Sep 2013 05:51:39 -0400|visitor|content|/robots.txt|157.55.35.82|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
INFO|Sun, 15 Sep 2013 06:23:08 -0400|site|favicon|/favicon.ico|66.249.81.62|live|The site favicon could not be found.
ERROR|Sun, 15 Sep 2013 07:53:55 -0400|visitor|content|/robots.txt|157.55.35.97|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sun, 15 Sep 2013 09:41:00 -0400|visitor|content|/_themes/magnus/img/album/whateverittakes.jpg|69.171.224.115|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sun, 15 Sep 2013 09:41:01 -0400|visitor|content|/_themes/magnus/img/album/whateverittakes.jpg|69.171.224.114|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sun, 15 Sep 2013 10:57:16 -0400|visitor|content|/robots.txt|66.249.73.234|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sun, 15 Sep 2013 12:07:02 -0400|visitor|content|/robots.txt|66.249.73.32|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
INFO|Sun, 15 Sep 2013 13:31:44 -0400|site|favicon|/favicon.ico|63.135.14.74|live|The site favicon could not be found.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/Providers/HtmlEditorProviders/Fck/fcklinkgallery.aspx|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/lionsky_client/WebHtmlEditor/1_7_2006_1020/Theme/Office_Tinge/WebHtmlEditor.css|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/statics/js/ckeditor/plugins/capture/plugin.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/ask|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/wp-content/themes/twentyten/style.css|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/admin/help/online_help_1.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/static/js/common.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/do/reg.php|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:06 -0400|external|content|/robots|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/_data/jcmsU1.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/license.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/digg.php|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/history.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/安装说明.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/robots.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/licence.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/robots.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:08 -0400|external|content|/robots.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:10 -0400|external|content|/admin/template/article_more/config.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/clientscript/vbulletin_ajax_htmlloader.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/SCRIPT/common.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/data/js/config.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/language/gb2312.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/admin/inc/xml.xslt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/data/admin/ver.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/FS_Inc/FS_CSS.css|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:11 -0400|external|content|/a_d/install/data.sql|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:13 -0400|external|content|/member/template/homepage.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/Admin/Include/version.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/fckeditor/editor/js/fckeditorcode_ie.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/CSS/atom.css|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/api/Request.xml|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/data|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/admin/tpls/tpls/main/default/index.tpl|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/hack/gather/template/edit_title.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:14 -0400|external|content|/ThinkPHP/README.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Sun, 15 Sep 2013 15:28:15 -0400|external|content|/template/default/refreshto.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
