ERROR|Thu, 07 Nov 2013 01:19:47 -0500|visitor|content|/robots.txt|157.55.35.52|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
INFO|Thu, 07 Nov 2013 01:50:19 -0500|site|favicon|/favicon.ico|70.71.177.64|live|The site favicon could not be found.
ERROR|Thu, 07 Nov 2013 02:00:19 -0500|visitor|content|/robots.txt|66.249.74.136|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
INFO|Thu, 07 Nov 2013 05:21:35 -0500|site|favicon|/favicon.ico|209.121.225.167|live|The site favicon could not be found.
ERROR|Thu, 07 Nov 2013 05:29:27 -0500|visitor|content|/robots.txt|178.255.215.91|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 05:29:28 -0500|visitor|content|/index.php/site/rss_2.0/|178.255.215.91|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 06:11:29 -0500|visitor|content|/robots.txt|184.173.121.51|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 06:29:45 -0500|visitor|content|/robots.txt|66.249.74.34|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 06:58:30 -0500|visitor|content|/robots.txt|81.144.138.34|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 07:04:54 -0500|visitor|content|/robots.txt|66.249.74.89|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 08:31:39 -0500|visitor|content|/robots.txt|66.249.73.240|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 09:57:37 -0500|visitor|content|/robots.txt|66.249.73.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 10:51:09 -0500|visitor|content|/robots.txt|157.55.34.25|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 07 Nov 2013 11:14:51 -0500|page|content|/robots.txt|101.226.169.217|live|404 - Page not found. There is a bad link on <a href="/robots.txt">/robots.txt</a>.
ERROR|Thu, 07 Nov 2013 11:31:48 -0500|external|content|/static/js/common.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Thu, 07 Nov 2013 11:31:48 -0500|external|content|/admin/help/online_help_1.htm|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Thu, 07 Nov 2013 11:31:48 -0500|external|content|/DevInfo.txt|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Thu, 07 Nov 2013 11:31:48 -0500|external|content|/robots|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
ERROR|Thu, 07 Nov 2013 11:31:48 -0500|external|content|/statics/js/ckeditor/plugins/capture/plugin.js|183.60.244.29|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.baidu.com">http://www.baidu.com</a>.
