INFO|Fri, 14 Mar 2014 01:53:56 -0400|site|favicon|/favicon.ico|98.221.9.204|live|The site favicon could not be found.
ERROR|Fri, 14 Mar 2014 03:25:20 -0400|visitor|content|/robots.txt|66.249.75.117|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 03:57:50 -0400|visitor|content|/robots.txt|199.30.20.123|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 05:22:20 -0400|visitor|content|/robots.txt|65.55.215.63|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 07:37:27 -0400|visitor|content|/player/assets/widget-a182bc59.js|180.76.6.36|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 09:24:29 -0400|visitor|content|/robots.txt|66.249.67.247|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 10:12:55 -0400|visitor|content|/robots.txt|157.55.34.74|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 12:41:15 -0400|visitor|content|/robots.txt|68.180.225.105|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 14:09:58 -0400|visitor|content|/robots.txt|162.210.196.130|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 14:47:41 -0400|visitor|content|/robots.txt|100.43.83.156|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 18:22:14 -0400|visitor|content|/robots.txt|66.249.67.64|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Fri, 14 Mar 2014 20:51:09 -0400|visitor|content|/robots.txt|157.55.32.108|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
