ERROR|Thu, 03 Jul 2014 00:53:48 -0400|page|content|/robots.txt|182.118.25.207|live|404 - Page not found. There is a bad link on <a href="/robots.txt">/robots.txt</a>.
ERROR|Thu, 03 Jul 2014 00:54:42 -0400|external|content|/wp-login.php|203.145.255.129|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.google.com/">http://www.google.com/</a>.
ERROR|Thu, 03 Jul 2014 00:56:38 -0400|visitor|content|/robots.txt|66.249.65.198|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 01:10:40 -0400|external|content|/wp-login.php|72.32.185.205|live|404 - Page not found. User clicked an outside bad link at <a href="http://www.google.com/">http://www.google.com/</a>.
ERROR|Thu, 03 Jul 2014 04:36:43 -0400|visitor|content|/robots.txt|180.76.6.17|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 04:37:09 -0400|visitor|content|/robots.txt|54.87.197.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 04:37:10 -0400|visitor|content|/robots.txt|54.87.197.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 04:54:05 -0400|visitor|content|/robots.txt|23.22.49.164|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 04:54:06 -0400|visitor|content|/robots.txt|23.22.49.164|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:01:07 -0400|visitor|content|/robots.txt|23.22.49.164|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:01:09 -0400|visitor|content|/robots.txt|23.22.49.164|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:16:13 -0400|visitor|content|/robots.txt|54.87.197.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:16:14 -0400|visitor|content|/robots.txt|54.87.197.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:29:27 -0400|visitor|content|/robots.txt|54.87.197.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:29:29 -0400|visitor|content|/robots.txt|54.87.197.56|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:36:25 -0400|visitor|content|/robots.txt|23.22.49.164|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Thu, 03 Jul 2014 05:36:27 -0400|visitor|content|/robots.txt|23.22.49.164|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
