INFO|Sat, 23 Aug 2014 01:03:03 -0400|site|favicon|/favicon.ico|66.249.83.79|live|The site favicon could not be found.
ERROR|Sat, 23 Aug 2014 02:31:54 -0400|visitor|content|/robots.txt|178.255.215.67|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 03:28:11 -0400|visitor|content|/robots.txt|100.43.81.129|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 07:14:30 -0400|visitor|content|/robots.txt|66.249.79.119|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 07:51:07 -0400|visitor|content|/robots.txt|61.135.189.190|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 09:29:32 -0400|visitor|content|/robots.txt|66.249.79.44|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 09:30:48 -0400|visitor|content|/news/tour|66.249.79.44|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 10:00:08 -0400|visitor|content|/robots.txt|157.55.39.166|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 11:47:34 -0400|visitor|content|/robots.txt|180.76.6.152|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 12:38:13 -0400|visitor|content|/robots.txt|157.55.39.166|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 17:53:11 -0400|visitor|content|/use.typekit.net/smx7oto.js|157.55.39.200|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 18:15:47 -0400|visitor|content|/robots.txt|37.58.100.148|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 18:16:58 -0400|visitor|content|/use.typekit.net/smx7oto.js|157.55.39.200|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 19:40:01 -0400|visitor|content|/robots.txt|199.16.156.124|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
ERROR|Sat, 23 Aug 2014 22:57:30 -0400|visitor|content|/robots.txt|123.125.71.69|live|404 - Page not found. Visitor came directly to this page and may have typed the URL incorrectly.
